$2 = {{type = TR_IRQ_ENTER, time = 3, data = 2048},
{type = TR_PACKET_DATA_AVAILABLE, time = 211, data = 4},
{type = TR_CONTROL_SETUP, time = 211, data = 2147877634},
{type = TR_CONTROL_SETUP_DETAILS, time = 211, data = 67698943},
{type = TR_SET_NAK, time = 211, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 211, data = 18},
{type = TR_IRQ_EXIT, time = 211, data = 528},
{type = TR_IRQ_ENTER, time = 211, data = 786448},
{type = TR_IN_PACKET_SENT, time = 211, data = 0},
{type = TR_CONTROL_IN, time = 211, data = 3},
{type = TR_LAST_DATA_IN, time = 211, data = 0},
{type = TR_SET_NAK, time = 211, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 211, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 211, data = 0},
{type = TR_IRQ_EXIT, time = 211, data = 436},
{type = TR_IRQ_ENTER, time = 211, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 211, data = 4},
{type = TR_CONTROL_OUT, time = 211, data = 7},
{type = TR_STATUS_OUT, time = 211, data = 0},
{type = TR_DOEPINT_EPNUM, time = 211, data = 0},
{type = TR_DOEPINT, time = 211, data = 40968},
{type = TR_IRQ_EXIT, time = 211, data = 528},
{type = TR_IRQ_ENTER, time = 211, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 211, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 211, data = 0},
{type = TR_IRQ_EXIT, time = 211, data = 436},
{type = TR_IRQ_ENTER, time = 211, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 211, data = 0},
{type = TR_DOEPINT, time = 211, data = 1},
{type = TR_IRQ_EXIT, time = 211, data = 528},
{type = TR_IRQ_ENTER, time = 211, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 211, data = 4},
{type = TR_CONTROL_SETUP, time = 211, data = 2147877120},
{type = TR_CONTROL_SETUP_DETAILS, time = 211, data = 18},
{type = TR_SET_NAK, time = 211, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 211, data = 9},
{type = TR_IRQ_EXIT, time = 211, data = 528},
{type = TR_IRQ_ENTER, time = 211, data = 786448},
{type = TR_IN_PACKET_SENT, time = 211, data = 0},
{type = TR_CONTROL_IN, time = 211, data = 3},
{type = TR_LAST_DATA_IN, time = 211, data = 0},
{type = TR_SET_NAK, time = 211, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 211, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 211, data = 0},
{type = TR_IRQ_EXIT, time = 211, data = 436},
{type = TR_IRQ_ENTER, time = 211, data = 524304},
{type = TR_PACKET_DATA_AVAILABLE, time = 211, data = 4},
{type = TR_CONTROL_OUT, time = 211, data = 7},
{type = TR_STATUS_OUT, time = 211, data = 0},
{type = TR_DOEPINT_EPNUM, time = 211, data = 0},
{type = TR_DOEPINT, time = 211, data = 40968},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 212, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 212, data = 0},
{type = TR_IRQ_EXIT, time = 212, data = 436},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 1},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 16},
{type = TR_PACKET_DATA_AVAILABLE, time = 212, data = 4},
{type = TR_CONTROL_SETUP, time = 212, data = 2147877376},
{type = TR_CONTROL_SETUP_DETAILS, time = 212, data = 9},
{type = TR_SET_NAK, time = 212, data = 1},
{type = TR_USB_CONTROL_STANDARD_REQ_HANDLED, time = 212, data = 67},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 262160},
{type = TR_IN_PACKET_SENT, time = 212, data = 0},
{type = TR_CONTROL_IN, time = 212, data = 2},
{type = TR_DATA_IN, time = 212, data = 0},
{type = TR_PACKET_DATA_AVAILABLE, time = 212, data = 4},
{type = TR_OUT_PACKET_COMPLETE, time = 212, data = 0},
{type = TR_IRQ_EXIT, time = 212, data = 436},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 40984},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 212, data = 0},
{type = TR_DOEPINT, time = 212, data = 8192},
{type = TR_IRQ_EXIT, time = 212, data = 528},
{type = TR_IRQ_ENTER, time = 212, data = 524288},
