$1 = {{type = TR_IRQ_ENTER, time = 3, data = 2048},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
{type = TR_IRQ_ENTER, time = 214, data = 524288},
{type = TR_DOEPINT_EPNUM, time = 214, data = 0},
{type = TR_DOEPINT, time = 214, data = 8192},
{type = TR_IRQ_EXIT, time = 214, data = 528},
